,time,d,std_d
0,0.0,1.9320285551921579,0.1
1,0.1,1.7158980306494984,0.1
2,0.2,1.0116134181643508,0.1
3,0.30000000000000004,0.43030863754766857,0.1
4,0.4,-0.1967505502959701,0.1
5,0.5,-0.8165563476714192,0.1
6,0.6000000000000001,-1.179212035121202,0.1
7,0.7000000000000001,-1.1151949721017202,0.1
8,0.8,-0.9116380936755248,0.1
9,0.9,-0.794558982766651,0.1
10,1.0,-0.39670378201552875,0.1
11,1.1,0.17688869514782135,0.1
12,1.2000000000000002,0.2745928416406433,0.1
13,1.3,0.49290713803224184,0.1
14,1.4000000000000001,0.8724647906055373,0.1
15,1.5,0.44390048636917057,0.1
16,1.6,0.5430193989804496,0.1
17,1.7000000000000002,0.06853362434427512,0.1
18,1.8,-0.0033471697865648797,0.1
19,1.9000000000000001,0.01569589355771428,0.1
20,2.0,-0.15199599433259914,0.1
21,2.1,-0.43552372346580204,0.1
22,2.2,-0.3915209321979567,0.1
23,2.3000000000000003,-0.2785995491797808,0.1
24,2.4000000000000004,-0.31186399293699857,0.1
25,2.5,-0.0127474767469768,0.1
26,2.6,0.2672842378438722,0.1
27,2.7,-0.0028173878804438335,0.1
28,2.8000000000000003,-0.013323979284468657,0.1
29,2.9000000000000004,0.22597349003406658,0.1
30,3.0,0.16147801270097592,0.1
31,3.1,0.3034316280126053,0.1
32,3.2,0.042620106878624955,0.1
33,3.3000000000000003,-0.011464567015790562,0.1
34,3.4000000000000004,-0.07984242047737307,0.1
35,3.5,-0.19560336472585585,0.1
36,3.6,-0.04297535090937141,0.1
37,3.7,-0.23523253593098384,0.1
38,3.8000000000000003,0.038050492780517836,0.1
39,3.9000000000000004,-0.04344516215975515,0.1
40,4.0,0.04303525357806723,0.1
41,4.1000000000000005,-0.02982135290837405,0.1
42,4.2,-0.043036164218814205,0.1
43,4.3,0.2405576056069828,0.1
44,4.4,0.10671269199238162,0.1
45,4.5,0.1695808833219285,0.1
46,4.6000000000000005,0.04973819615801478,0.1
47,4.7,0.2715709687684439,0.1
48,4.800000000000001,0.026773224323912607,0.1
49,4.9,-0.12692730041301592,0.1
50,5.0,0.04430181425209844,0.1
