,time,temperature,rho,dRho,std_dRho
0,0.0,300.0,1.0,1.3835853854748974e-05,1e-05
1,108.19672131147543,311.0,0.9999999999911198,-1.3527188953172348e-06,1e-05
2,216.39344262295086,322.0,0.9999999999607709,-3.8984051631966957e-07,1e-05
3,324.59016393442624,333.0,0.9999999998593646,-1.43417977479155e-05,1e-05
4,432.7868852459017,344.0,0.9999999995626242,-2.3589009707069217e-06,1e-05
5,540.9836065573771,355.0,0.9999999987176659,-8.607780504317492e-07,1e-05
6,649.1803278688525,366.0,0.9999999964873926,3.875173893031353e-06,1e-05
7,757.377049180328,377.0,0.9999999910187117,4.142000030465005e-06,1e-05
8,865.5737704918034,388.0,0.9999999777796312,-8.837072191613348e-06,1e-05
9,973.7704918032788,399.0,0.9999999488513213,-4.262828705772224e-06,1e-05
10,1081.9672131147543,410.0,0.9999998794643087,-6.139561233801818e-06,1e-05
11,1190.1639344262296,421.0,0.9999997564464532,-3.189469718474309e-06,1e-05
12,1298.360655737705,432.0,0.9999994970881956,4.689847288735289e-06,1e-05
13,1406.5573770491806,443.0,0.9999989861661805,1.9400617851186416e-05,1e-05
14,1514.754098360656,454.0,0.9999980429260217,4.256369905484264e-06,1e-05
15,1622.9508196721313,465.0,0.9999963291078435,-8.617490222063601e-07,1e-05
16,1731.1475409836069,476.0,0.9999932976660252,-1.730939649241912e-05,1e-05
17,1839.3442622950822,487.0,0.9999880906724621,-4.157398881494881e-06,1e-05
18,1947.5409836065576,498.0,0.9999793372287046,-9.187454263390632e-06,1e-05
19,2055.737704918033,509.0,0.9999649424374716,-2.111497869790101e-06,1e-05
20,2163.9344262295085,520.0,0.9999418239636313,4.372557273756404e-06,1e-05
21,2272.131147540984,531.0,0.9999053836216013,2.3747055763009913e-05,1e-05
22,2380.3278688524592,542.0,0.9998490772017554,1.5172918287198099e-05,1e-05
23,2488.5245901639346,553.0,0.999763701296267,1.9044149153705773e-05,1e-05
24,2596.72131147541,564.0,0.9996366333904534,-6.931212097306171e-07,1e-05
25,2704.9180327868858,575.0,0.9994509998780756,2.181510983878006e-05,1e-05
26,2813.114754098361,586.0,0.9991849016672169,2.7094042084583978e-05,1e-05
27,2921.3114754098365,597.0,0.9988109009164341,4.30252183398749e-05,1e-05
28,3029.508196721312,608.0,0.9982960785718717,6.49094177757869e-05,1e-05
29,3137.704918032787,619.0,0.9976030622158437,6.800642478908657e-05,1e-05
30,3245.9016393442625,630.0,0.9966924356654515,9.716942174308954e-05,1e-05
31,3354.098360655738,641.0,0.9955266058302509,0.00014501606430190325,1e-05
32,3462.2950819672137,652.0,0.9940747205670938,0.00016876636133966147,1e-05
33,3570.491803278689,663.0,0.9923176172731346,0.00017649762366891647,1e-05
34,3678.6885245901644,674.0,0.9902510437271747,0.00018551475311640129,1e-05
35,3786.88524590164,685.0,0.9878857383975882,0.00023953867302751108,1e-05
